Year,Month,TotalSnow,FrontHeavy,MaxSnowDay,BBAvgTemp,BBAvgDischarge,SBAvgTemp,SBAvgDischarge,TotalRain
1997,5,85.6,7,12,8.553161,4.475148,7.912355,1.70871,4.3
1997,6,85.6,7,12,13.28167,0.62626,13.23467,0.256667,1.1
1997,7,85.6,7,12,15.51258,0.240098,15.61032,0.101613,2.5
1997,8,85.6,7,12,15.49774,0.094375,15.49774,0.055806,1.5
1997,9,85.6,7,12,13.28233,0.111679,12.86567,0.058,3.8
1997,10,85.6,7,12,9.076452,0.185806,8.305935,0.054839,2.1
1998,5,63,-24,6,11.47129,1.410968,11.04452,0.537419,3.5
1998,6,63,-24,6,13.09567,3.357333,12.25333,1.348,7.5
1998,7,63,-24,6,16.12129,0.592258,15.39355,0.24129,2.6
1998,8,63,-24,6,16.43065,0.119677,16.15613,0.066452,2.3
1998,9,63,-24,6,14.419,0.066667,13.76367,0.039333,1.7
1998,10,63,-24,6,10.40516,0.231613,9.282903,0.107097,3.7
1999,5,43.6,-10,6,10.68226,4.722581,,1.695806,4.7
1999,6,43.6,-10,6,14.245,0.533667,12.94045,0.238,2.3
1999,7,43.6,-10,6,16.91133,1.057742,15.36065,0.324194,4.7
1999,8,43.6,-10,6,16.14806,0.205484,14.75935,0.07871,4.8
1999,9,43.6,-10,6,14.594,2.871667,13.463,1.006333,11.4
1999,10,43.6,-10,6,9.40271,3.617097,8.034839,1.490323,4.6
2000,5,52.2,7,11.5,10.36355,4.527419,9.087161,1.412903,5.8
2000,6,52.2,7,11.5,12.45433,6.767657,11.05367,2.178333,11.9
2000,7,52.2,7,11.5,14.43792,1.865223,12.95774,0.577742,5.7
2000,8,52.2,7,11.5,14.94213,4.181706,13.45387,1.327419,8.5
2000,9,52.2,7,11.5,13.387,0.67225,12.184,0.191667,5.8
2000,10,52.2,7,11.5,9.1876,1.895126,8.047871,0.587419,2.2
2001,5,99.2,12,19,9.487742,2.007445,9.450645,0.577863,4.2
2001,6,99.2,12,19,12.85333,2.998,12.128,0.970834,6.7
2001,7,99.2,12,19,15.05167,0.769032,13.87742,0.175305,4.8
2001,8,99.2,12,19,17.12484,0.133871,16.1329,0.05111,3.6
2001,9,99.2,12,19,14.189,0.128333,12.55333,0.037927,4
2001,10,99.2,12,19,10.36384,0.172258,8.366484,0.068455,1.4
2002,5,59.2,-6,8,8.862387,5.561767,7.538194,2.2587,7.7
2002,6,59.2,-6,8,12.4,5.600964,11.346,2.001056,8.6
2002,7,59.2,-6,8,14.71935,0.662598,14.71935,0.307205,3.2
2002,8,59.2,-6,8,15.60323,0.2116,15.60323,0.082723,5.8
2002,9,59.2,-6,8,13.57233,0.280045,13.57233,0.097062,6.8
2002,10,59.2,-6,8,7.847452,1.305062,7.847452,0.439462,3.8
2003,5,87,-21,14,9.820323,3.520515,8.539032,1.192294,5.8
2003,6,87,-21,14,13.97067,1.465499,11.695,0.541866,2.5
2003,7,87,-21,14,16.64921,0.372989,15.01452,0.221886,3.3
2003,8,87,-21,14,16.17084,1.469821,15.07419,0.630554,8.5
2003,9,87,-21,14,14.50799,0.802259,13.04633,0.300038,6.9
2003,10,87,-21,14,10.39457,3.010779,8.02996,1.100388,7
2004,5,76.9,-19,15,12.0765,4.893871,10.0811,1.279355,6.1
2004,6,76.9,-19,15,13.29685,2.313333,11.56933,0.772,4.6
2004,7,76.9,-19,15,15.55954,2.149677,14.32871,0.606774,6.6
2004,8,76.9,-19,15,15.45381,3.149032,14.17258,1.113226,7.4
2004,9,76.9,-19,15,14.12267,3.024667,13.012,1.429667,7.5
2004,10,76.9,-19,15,9.479871,1.508387,8.411065,0.380645,2.2
2005,5,74.1,17,11,8.952903,1.699032,8.00329,0.713226,1.6
2005,6,74.1,17,11,14.64767,0.581667,14.08767,0.404,6.1
2005,7,74.1,17,11,16.53548,1.231613,15.70968,0.364516,5.8
2005,8,74.1,17,11,17.01452,0.245806,16.24226,0.122903,4.6
2005,9,74.1,17,11,14.91433,0.238667,13.962,0.08,3.3
2005,10,74.1,17,11,10.5431,8.022903,9.495161,3.490323,13.7
2006,5,59.05,-10,7,9.615484,4.59129,8.893226,1.824839,8
2006,6,59.05,-10,7,12.961,5.188,12.09767,2.131667,6.3
2006,7,59.05,-10,7,16.34677,2.047419,15.53258,0.643871,4.7
2006,8,59.05,-10,7,16.26929,0.830968,15.33968,0.226129,5.3
2006,9,59.05,-10,7,13.10808,1.470333,12.256,0.609667,4.2
2006,10,59.05,-10,7,9.266129,4.115161,8.467774,1.399677,5.6
2007,5,61.8,30,16,10.27194,2.683548,9.290032,0.985484,4.1
2007,6,61.8,30,16,13.23667,1.169333,12.391,0.372,3.2
2007,7,61.8,30,16,16.23839,0.397742,14.50226,0.110323,4.5
2007,8,61.8,30,16,17.27258,0.169032,14.99129,0.049677,3.4
2007,9,61.8,30,16,13.95133,0.270333,13.07767,0.055667,5
2007,10,61.8,30,16,11.91065,1.258387,11.03874,0.475484,7.6
2008,5,73,-6,7,9.077419,2.197419,8.147258,0.733871,1.8
2008,6,73,-6,7,13.34333,1.076,13.18333,0.332333,6.2
2008,7,73,-6,7,15.89032,1.920645,15.01581,0.974839,7.9
2008,8,73,-6,7,14.72903,2.959677,13.46742,1.774194,5.3
2008,9,73,-6,7,13.99,1.556,12.89167,0.561333,5.6
2008,10,73,-6,7,9.264806,3.374194,8.269258,1.252903,6.6
2009,5,62.1,-13,7,10.33106,2.736452,9.383226,0.719355,5.2
2009,6,62.1,-13,7,12.663,2.783333,11.4,0.891333,5.6
2009,7,62.1,-13,7,14.24194,4.571613,13.11323,1.681935,10.6
2009,8,62.1,-13,7,16.17097,3.833226,16.03933,1.33871,6
2009,9,62.1,-13,7,13.20333,1.025667,13.37448,0.376333,1.6
2009,10,62.1,-13,7,9.103226,3.17871,8.882774,1.234516,7.2
2010,5,58.6,-5,10,11.58355,2.024194,10.71119,0.652258,2.5
2010,6,58.6,-5,10,15.72667,1.356667,13.93167,0.514333,5
2010,7,58.6,-5,10,17.78,0.713871,17.22839,0.274194,6.7
2010,8,58.6,-5,10,17.22968,0.243226,16.59065,0.108065,2.2
2010,9,58.6,-5,10,14.97267,0.115,14.38633,0.068667,3.1
2010,10,58.6,-5,10,9.948226,1.787097,9.432387,0.565161,8.1
2011,5,101.5,-12,17,10.83548,4.515161,10.65129,1.471613,3.6
2011,6,101.5,-12,17,13.46767,1.914667,13.20733,0.805,7.1
2011,7,101.5,-12,17,16.95226,0.791935,16.20667,0.376071,1.8
2011,8,101.5,-12,17,17.03935,2.037097,20.97419,0.722667,10.4
2011,9,101.5,-12,17,14.336,6.215667,14.21467,2.819,9.5
2011,10,101.5,-12,17,10.50826,3.259355,10.52506,1.139677,4.9
